Rk,Player,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Date_Time,Random_Number
603,Yann Sommer,M'Gladbach ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-05-31 21:01:40,75
604,Brandon Soppy,Rennes ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-05-09 19:54:14,16
605,Yegor Sorokin,Krasnodar ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-08-11 20:05:08,89
606,Hillel Soudani,Olympiacos ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-02-16 09:53:06,90
607,Eduard Spertsyan,Krasnodar ,0,1,0,0.0,2.25,0.0,0.0,,19.7,0,0,0,0.0,0.0,0.03,0.0,0.0,2020-06-13 00:25:18,83
608,Marco Sportiello,Atalanta ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-05-04 13:28:30,31
609,Cican Stankovic,RB Salzburg,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-04-20 19:47:48,13
610,Zack Steffen,Manchester City,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-11-25 19:10:58,82
611,Taras Stepanenko,Shakhtar ,0,1,0,0.0,0.31,0.0,0.0,,23.8,0,0,0,0.0,0.0,0.04,0.0,0.0,2020-09-03 01:47:07,56
612,Raheem Sterling,Manchester City,1,10,6,60.0,1.91,1.15,0.1,0.17,16.3,1,0,0,1.4,1.4,0.14,-0.4,-0.4,2020-04-11 02:30:00,94
613,Angelo Stiller,Bayern Munich,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-03-12 15:13:05,57
614,Lars Stindl,M'Gladbach ,2,7,2,28.6,1.65,0.47,0.14,0.5,18.3,1,1,1,1.3,0.6,0.08,0.7,0.4,2020-08-27 05:08:27,98
615,John Stones,Manchester City,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-10-22 03:10:24,13
616,Thomas Strakosha,Lazio ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-12-18 03:53:03,32
617,Kevin Strootman,Marseille ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-07-21 10:07:37,52
618,Luis Suárez,Atlético Madrid,0,7,2,28.6,2.04,0.58,0.0,0.0,12.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5,2020-06-01 07:53:41,59
619,Luka Su?i?,RB Salzburg,0,2,1,50.0,4.19,2.09,0.0,0.0,16.4,0,0,0,0.4,0.4,0.22,-0.4,-0.4,2020-02-21 17:59:09,44
620,Heorhii Sudakov,Shakhtar ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-09-03 22:13:46,31
621,Niklas Süle,Bayern Munich,1,4,2,50.0,1.0,0.5,0.25,0.5,7.8,0,0,0,0.6,0.6,0.15,0.4,0.4,2020-04-12 15:18:31,31
622,Magomed-Shapi Suleymanov,Krasnodar ,1,3,1,33.3,1.3,0.43,0.33,1.0,21.9,2,0,0,0.2,0.2,0.07,0.8,0.8,2020-08-15 00:03:45,22
623,Vladyslav Supriaha,Dynamo Kyiv,0,2,1,50.0,0.58,0.29,0.0,0.0,9.1,0,0,0,0.6,0.6,0.28,-0.6,-0.6,2020-05-09 00:10:37,76
624,Suso,Sevilla ,0,3,2,66.7,2.05,1.36,0.0,0.0,17.8,1,0,0,0.1,0.1,0.05,-0.1,-0.1,2020-07-28 16:28:47,5
625,Aleksei Sutormin,Zenit ,0,2,0,0.0,0.73,0.0,0.0,,15.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2020-05-27 08:30:11,64
626,Erik Sviatchenko,Midtjylland ,0,6,2,33.3,1.2,0.4,0.0,0.0,13.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,2020-10-06 15:39:36,92
627,Serhiy Sydorchuk,Dynamo Kyiv,0,3,2,66.7,0.76,0.51,0.0,0.0,31.4,0,0,0,0.0,0.0,0.02,0.0,0.0,2020-04-11 10:34:56,64
628,Wojciech Szcz?sny,Juventus ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-07-28 20:04:30,52
629,Dominik Szoboszlai,RB Salzburg,2,12,5,41.7,2.14,0.89,0.17,0.4,21.6,3,0,0,1.5,1.5,0.13,0.5,0.5,2020-12-21 05:13:23,14
630,Alexander Sørloth,RB Leipzig,1,3,1,33.3,3.91,1.3,0.33,1.0,13.3,0,0,0,0.2,0.2,0.07,0.8,0.8,2020-07-31 00:29:46,54
631,Duan Tadi?,Ajax ,2,5,2,40.0,0.83,0.33,0.2,0.5,15.6,1,1,1,1.3,0.6,0.11,0.7,0.4,2020-10-03 03:34:10,5
632,Nicolás Tagliafico,Ajax ,0,2,1,50.0,0.35,0.18,0.0,0.0,18.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2020-07-08 12:08:09,9
633,Taison,Shakhtar ,0,5,2,40.0,1.61,0.65,0.0,0.0,22.2,1,0,0,0.4,0.4,0.08,-0.4,-0.4,2020-04-12 06:56:24,12
634,Flavien Tait,Rennes ,0,2,1,50.0,4.19,2.09,0.0,0.0,12.5,0,0,0,0.3,0.3,0.13,-0.3,-0.3,2020-05-18 06:54:02,6
635,Mehdi Taremi,Porto ,0,1,1,100.0,3.0,3.0,0.0,0.0,71.0,0,0,0,0.0,0.0,0.03,0.0,0.0,2020-06-04 19:00:13,44
636,Mahmut Tekdemir,Ba?ak?ehir ,0,2,1,50.0,1.01,0.51,0.0,0.0,13.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2020-12-23 02:50:10,22
637,Alex Telles,Manchester Utd,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-09-23 06:01:19,28
638,Marc-André ter Stegen,Barcelona ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-10-29 18:22:58,82
639,Martin Terrier,Rennes ,0,2,1,50.0,0.75,0.37,0.0,0.0,19.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-12-18 23:07:27,25
640,Tetê,Shakhtar ,1,13,7,53.8,2.28,1.23,0.08,0.14,19.0,0,0,0,1.5,1.5,0.11,-0.5,-0.5,2020-11-14 22:47:45,44
641,Florian Thauvin,Marseille ,0,5,2,40.0,0.94,0.38,0.0,0.0,20.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,2020-04-29 03:42:52,39
642,Marcus Thuram,M'Gladbach ,2,12,6,50.0,2.13,1.07,0.17,0.33,12.3,0,0,0,1.4,1.4,0.12,0.6,0.6,2020-10-24 23:07:41,50
643,Jurrien Timber,Ajax ,0,0,0,,,,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-06-30 10:25:31,65
644,Corentin Tolisso,Bayern Munich,1,6,2,33.3,2.13,0.71,0.17,0.5,17.6,0,0,0,0.4,0.4,0.07,0.6,0.6,2020-07-23 10:00:22,87
645,Rafael Tolói,Atalanta ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-10-21 14:36:47,32
646,Mehmet Topal,Ba?ak?ehir ,1,1,1,100.0,0.4,0.4,1.0,1.0,7.0,0,0,0,0.3,0.3,0.32,0.7,0.7,2020-10-08 08:07:47,77
647,Lucas Torreira,Atlético Madrid,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-02-24 08:25:57,46
648,Ferrán Torres,Manchester City,4,12,5,41.7,3.09,1.29,0.33,0.8,13.2,0,0,0,2.5,2.5,0.21,1.5,1.5,2020-02-10 09:26:43,1
649,Óliver Torres,Sevilla ,0,1,1,100.0,0.38,0.38,0.0,0.0,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0,2020-02-19 01:58:51,95
650,Amad Traoré,Atalanta ,0,3,2,66.7,11.74,7.83,0.0,0.0,14.2,0,0,0,0.5,0.5,0.17,-0.5,-0.5,2020-04-28 23:14:52,61
651,Hamari Traoré,Rennes ,0,5,0,0.0,0.83,0.0,0.0,,26.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,2020-12-11 15:32:10,3
652,Ibrahima Traoré,M'Gladbach ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-02-20 14:41:38,89
653,Francisco Trincão,Barcelona ,0,10,5,50.0,3.04,1.52,0.0,0.0,18.1,0,0,0,1.4,1.4,0.14,-1.4,-1.4,2020-04-24 00:23:27,19
654,Kieran Trippier,Atlético Madrid,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-05-06 04:16:21,16
655,Anatolii Trubin,Shakhtar ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-05-28 05:04:46,8
656,Adrien Truffert,Rennes ,0,3,1,33.3,1.12,0.37,0.0,0.0,22.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2020-05-01 12:23:37,28
657,Kostas Tsimikas,Liverpool ,0,1,0,0.0,0.7,0.0,0.0,,10.8,0,0,0,0.0,0.0,0.04,0.0,0.0,2020-02-16 12:52:45,2
